Country,ISO2,ISO3,Indicator,Technology,Energy_Type,Unit,Source,CTS_Name,CTS_Code,CTS_Full_Descriptor,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Netherlands, The",NL,NLD,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",1991.866,2347.852,2901.635,2544.699,3307.577,5256.854,5173.123,4000.138,5129.455,6111.493,7042.662,7058.54,7203.895,5954.377,5012.805,4938.74,4906.025,4600.987,4575.986,5814.345,8847.526,10883.039,
"Netherlands, The",NL,NLD,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",290.461,294.041,299.134,300.887,295.942,322.18,343.495,481.972,591.583,631.801,667.598,690.738,715.674,769.166,751.69,792.134,772.074,784.594,826.874,818.269,865.645,879.193,902.193
"Netherlands, The",NL,NLD,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",81277,84938,86631,87255,90553,86789,85745,91695,92238,96966,102386,95619,84936.321,84812.021,85848,89323.5,93245.868,92984.38,89095.826,92141.824,83975.958,75321.256,
"Netherlands, The",NL,NLD,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",19582.539,18852.959,19138.866,18920.113,19657.058,19430.32,20190.005,20647.028,21205.417,22178.199,22782.402,23954.762,25477.826,25426.334,26209.81,27225.531,26155.591,24986.761,24289.14,23613.896,22810.5,22603.343,22424.343
"Netherlands, The",NL,NLD,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",142.43,117.279,110,72,95,88,106,107,102,98,105,57,104.388,114.312,112.2,92.7,100.079,60.757,72.348,74.182,46.066,88.143,
"Netherlands, The",NL,NLD,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,36.9,38
"Netherlands, The",NL,NLD,Electricity Generation,Marine energy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",,,,,,,,,,,,,0.1,,0.2,2,,,,,,,
"Netherlands, The",NL,NLD,Electricity Installed Capacity,Marine energy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",,,,,,,,,,,,,0.11,,0.18,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05
"Netherlands, The",NL,NLD,Electricity Generation,Nuclear,Total Non-Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",3926,3976,3915,4018,3822,3997,3469,4200,4169,4248,3969,4141,3915,2891,4091,4078.041,3960.278,3402.478,3514.77,3909.748,4087.363,3827.956,
"Netherlands, The",NL,NLD,Electricity Installed Capacity,Nuclear,Total Non-Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",449,449,449,449,449,449,510,510,510,510,510,510,510,485,485,485,485,485,485,485,485,512,512
"Netherlands, The",NL,NLD,Electricity Generation,Other non-renewable energy,Total Non-Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",1456.017,1447.21,1460.624,1582.77,1531.942,1689.604,1568.165,1686.572,1614.197,1640.483,1717.615,1881.003,1902.932,1821.373,1770.863,3119.571,3172.986,3369.974,2748.98,2507.956,2483.991,2511.183,
"Netherlands, The",NL,NLD,Electricity Installed Capacity,Other non-renewable energy,Total Non-Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",243,243,256,267,272,286.5,286.5,325,325,345,364,395.5,381.5,362.5,365.5,420.335,420.335,416.335,470.835,470.835,466.25,540.167,540.167
"Netherlands, The",NL,NLD,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",7.684,11.644,16.391,25.372,33.581,35.426,36.543,37.565,39.61,44.9,55.872,104.471,190.644,409.998,725.161,1108.52,1601.808,2204.346,3707.792,5399.405,8568.31,11495.464,
"Netherlands, The",NL,NLD,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",13,21,26,46,50,51,53,54,59,69,90,149,287,650,1007,1526.259,2135.021,2910.892,4608,7226,11108.427,14910.686,18848.686
"Netherlands, The",NL,NLD,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",829.03,825.42,947.371,1319.778,1870.581,2066.655,2734.291,3438.026,4259.711,4580.623,3993.137,5100.171,4981.829,5627.147,5797.335,7549.87,8170.458,10568.813,10548.511,11507.927,15277.726,18004.853,
"Netherlands, The",NL,NLD,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",447,486,672,905,1075,1224,1561,1749,2149,2222,2237,2316,2433,2713,2865,3390.84,4257.12,4202,4393.11,4484.158,6647.875,7769.365,8747
Luxembourg,LU,LUX,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",22.351,25.874,27.015,34.151,42.575,46.163,55.216,62.667,69.648,78.184,84.14,92.979,94.011,94.211,115.225,125.964,140.018,171.453,217.172,278.129,372.29,388.619,
Luxembourg,LU,LUX,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",5.7,5.867,6.785,7.668,8.423,8.423,9.668,9.668,11.576,12.898,18.898,19.497,19.663,23.319,22.814,24.443,24.813,35.713,35.973,55.973,56.083,56.187,56.187
Luxembourg,LU,LUX,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",214.841,666.925,2624.366,2619.576,3152.629,3106.545,3247.284,2895.204,2402.198,2842.717,2916.54,2341.022,2388.207,1421.114,1451.304,837.784,258.179,221.212,195.495,191.619,184.055,173.128,
Luxembourg,LU,LUX,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",61.862,79.939,466.244,473.004,475.59,476.806,477.065,477.682,480.973,483.455,476.103,491.34,492.495,492.495,492.495,480.574,104.409,83.151,83.151,84.123,73.38,69.428,43.428
Luxembourg,LU,LUX,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",123.504,118.032,99.731,79.42,104.058,92.939,111.312,116.702,132.114,105.839,107.661,63,98.302,119.195,107.788,99.253,115.411,85.649,92.778,106.915,91.602,106.812,
Luxembourg,LU,LUX,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",33.3,33.918,33.918,33.918,34.044,34.077,34.132,34.132,34.132,34.192,34.308,34.308,34.308,34.308,34.308,34.266,34.318,34.545,34.473,34.473,34.527,34.527,31.527
Luxembourg,LU,LUX,Electricity Generation,Other non-renewable energy,Total Non-Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",33.685,33.452,33.917,29.165,34.082,29.041,34.68,39.977,39.585,40.982,46.376,61.992,59.591,58.896,55.468,66.14,69.459,77.223,76.958,77.715,71.449,70.056,
Luxembourg,LU,LUX,Electricity Installed Capacity,Other non-renewable energy,Total Non-Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",4,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,9.6,9.6,9.6,9.6,8.625,8.625,8.625,8.625,8.625,8.625,8.625,8.625,8.625
Luxembourg,LU,LUX,Electricity Generation,Pumped storage,Total Non-Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",747.126,753.049,889.176,831.543,750.208,784.486,805.92,801.621,832.926,726.868,1360.328,1067.506,1061.119,1038.947,1060.579,1431.37,1412.739,1336.318,1243.985,842.376,1002.472,977.96,
Luxembourg,LU,LUX,Electricity Installed Capacity,Pumped storage,Total Non-Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1296,1296,1296,1296,1296,1296,1296,1296,1296
Luxembourg,LU,LUX,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",,0.046,0.059,1.399,9.199,17.698,21.114,20.901,20.031,20.316,21.148,25.744,38.277,73.738,94.741,103.721,100.288,108.463,118.725,130.385,161.261,180.188,
Luxembourg,LU,LUX,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",,0.16,1.593,14.17,23.561,23.583,23.696,23.934,24.562,26.357,29.451,40.666,74.654,95.021,109.933,116.272,121.896,128.103,130.624,159.736,186.643,277.161,319.161
Luxembourg,LU,LUX,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",24.743,23.74,24.479,26.168,39.399,52.251,57.986,64.286,60.589,63.472,55.083,64.05,77.466,83.027,79.876,101.848,101.486,234.823,254.575,281.283,351.135,314.313,
Luxembourg,LU,LUX,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",14,13.9,13.9,20.5,34.9,34.9,34.9,34.9,42.915,42.93,43.727,44.527,58.327,58.327,58.342,63.794,119.694,119.694,122.894,135.794,152.744,136.444,165.444
Belgium,BE,BEL,Electricity Generation,Bioenergy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",568,597,721,857,1037,1590,2225,2600,3329,3949,4466.7,4657.2,5257.3,5042.4,4425.3,5511.7,5375.4,5711.6,5418.9,5173.6,5268.6,4690.9,
Belgium,BE,BEL,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",115.5,140.5,157,229.5,246,514.5,558,582.5,695.5,907,1015.5,1031,985.5,964.5,913.25,943.2,923.35,912.3,886.9,906.45,921.75,816.9,827.9
Belgium,BE,BEL,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",32804,30208,31500,34224,33196.3,33728.3,32578.2,33802.1,31748.9,35687.3,37202.6,31173.9,29371.4,26232.4,23812.6,26340.2,24906.3,25615.1,26486.2,28115.4,28774.1,24725.6,
Belgium,BE,BEL,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",8242,8018,7986,7965,7948,8024,8046,8060,8229,8345,8269,9023,8241,7746,7504.2,7395.2,7288.7,7265.3,7013.3,6983.2,6974.4,6969.6,7112.6
Belgium,BE,BEL,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",460,441,360,247,316.904,288,359.336,388.998,409.582,328,312,196,357,380,292.2,318.4,370,270.1,292.3,302,266.9,418.1,
Belgium,BE,BEL,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",103,111,111,110,115,105,107,110,111,110,118,119,120,119,121,112,109.1,107,107.8,104.1,105.8,110.7,111.7
Belgium,BE,BEL,Electricity Generation,Nuclear,Total Non-Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",48157,46349,47360,47379,47312,47595,46645,48227,45568,47222,47944,48234,40295,42644,33703,26103,43523,42226.8,28597,43523.6,34434.7,50326.2,
Belgium,BE,BEL,Electricity Installed Capacity,Nuclear,Total Non-Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",5713,5738,5761,5761,5761,5802,5825,5825,5825,5902,5927,5927,5927,5927,5927,5913,5913,5918,5918,5930,5942,5851,5851
Belgium,BE,BEL,Electricity Generation,Other non-renewable energy,Total Non-Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",768,986,941,766,915,931.6,1143,1293.8,1317.7,1406,1448.2,1618.8,1554.4,1565.9,1637.8,1705.5,1801,1839.3,1752.5,1644.1,1732.6,1757.2,
Belgium,BE,BEL,Electricity Installed Capacity,Other non-renewable energy,Total Non-Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",187.5,189.5,195,171.5,171,174.5,203,199.5,204.5,220,240.5,234,244.5,202.5,186.55,184.6,186.95,189.7,188.4,191.75,191.65,202.1,202.1
Belgium,BE,BEL,Electricity Generation,Pumped storage,Total Non-Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",1239,1203,1130,1069,1290.1,1316,1269,1293.75,1346.978,1429,1356,1227,1302,1324,1173,1099.1,1119.1,1127.3,1015.3,879.2,1047.7,931.7,
Belgium,BE,BEL,Electricity Installed Capacity,Pumped storage,Total Non-Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",1310,1310,1310,1310,1310,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307,1307
Belgium,BE,BEL,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",,,,,0.658,1.34,1.623,6.058,41.388,166.008,560,1169,2148,2644,2886.3,3056.5,3095.2,3307.9,3903.4,4252.5,5112.2,5618.1,
Belgium,BE,BEL,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",,,1,1,1,2,2,20,62,386,1006.6,1978.6,2646.6,2901.6,3015,3131.6,3328.8,3620.6,4000,4636.6,5572.8,6012.4,6898.4
Belgium,BE,BEL,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),,Electricity Generation,ECNEG,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Generation",16,37,57,88,141.454,227,366.259,491.098,637.012,996,1292,2312,2759.3,3665,4615.3,5574,5419.5,6520.7,7574.1,9755.4,12818.6,11997.6,
Belgium,BE,BEL,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),,Electricity Installed Capacity,ECNEC,"Environment, Climate Change, Economic Activity, Energy Transition, Electricity Installed Capacity",14,26,31,67,96,167,212,276,324,608,912,1069,1366.9,1769,1932.7,2181.3,2333.8,2779.4,3304.9,3863.5,4672.7,4948.4,5251.4